Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
99965,99965,99.88936541641,5.25726845736,3131017105651301888,0.6404,3.337,-1.511,2.976,12.522201,0.00279,12.84791,0.003075,12.018455,0.003929,11.789667,0.019093,0.829455,0.325709,0.503746,,7993.5,1702.6481,4.1915,66.96493,2.541,0.508,0.3657497,A      
33292,33292,94.83925913195,76.77688719096,1116657622555277056,3.3844,3.9,0.949,3.782,9.0298,0.002768,9.086457,0.002846,8.900224,0.003795,8.836952,0.007914,0.186234,0.056657,0.129577,,9930.4,291.5724,1.8692,32.009495,2.3,0.22,0.63427603,A      
62571,62571,299.41555218273,47.55004980457,2085656051890346496,0.9954,6.488,0.97,-6.415,12.039508,0.002764,12.194879,0.002867,11.767495,0.0038,11.635238,0.01211,0.427383,0.155371,0.272013,,8859.8,976.628,1.9691,22.456205,2.058,0.478,0.7230986,A      
159421,59421,33.07849070018,61.08794678164,507714857225563520,1.6442,16.978,13.703,-10.024,11.171963,0.002817,11.572175,0.003258,10.523821,0.004067,,,1.048354,0.400212,0.648142,,15511.8,728.1982,2.8479,283.28055,4.241,,0.90454334,B      
102042,2042,78.70293268588,34.80105887949,182286903195761792,0.1872,3.126,1.289,-2.848,17.573246,0.002958,18.375748,0.024034,16.653807,0.01172,,,1.721941,0.802502,0.919439,,9626.4,2190.3713,1.0405,8.543728,,,0.90166664,B      
83331,83331,111.38592392214,-18.01431245733,3026803405010166272,0.9619,4.418,-2.464,3.667,11.636235,0.002774,11.788791,0.002906,11.363324,0.003844,11.255245,0.020294,0.425467,0.152555,0.272911,,7966.0,1065.6547,2.7834,24.315964,2.02,0.83,0.39392713,A      
104242,4242,79.20206605715,37.13631207983,187124135880617472,0.2015,1.013,0.736,-0.696,16.316021,0.002856,16.822779,0.009399,15.538567,0.007219,,,1.284212,0.506758,0.777454,,9909.9,3720.2012,2.1676,41.8187,2.405,0.319,0.49495265,B      
41779,41779,339.60299024266,36.54545214559,1904742889686267648,1.0276,8.17,7.869,-2.197,11.223388,0.002776,11.313009,0.00282,11.049629,0.003787,10.955349,0.008735,0.26338,0.089622,0.173759,,9001.8,848.7567,2.2825,29.591705,2.136,0.649,0.35185367,A      
99996,99996,97.37891040042,4.40852426309,3131197086259749120,0.9166,3.508,0.667,-3.444,12.660202,0.002765,12.930009,0.002861,12.232437,0.003806,12.086024,0.024035,0.697572,0.269807,0.427765,,7325.6,954.6525,1.9699,12.624736,1.737,1.188,0.51358163,A      
106545,6545,85.57451775785,39.23093690538,190209498652524928,0.3927,4.07,-1.224,-3.881,13.184049,0.002824,13.304819,0.002856,12.61609,0.003804,,,0.688729,0.12077,0.567959,,13768.8,4671.178,5.8972,1082.1392,5.026,,0.42818576,B      
149054,49054,41.7371288536,57.60763435835,460886038528296448,0.334,1.052,0.484,-0.934,15.440391,0.002775,15.923825,0.003531,14.773565,0.004003,,,1.15026,0.483435,0.666825,,9963.1,2753.5986,2.0922,38.28967,2.366,0.289,0.6339265,B      
134865,34865,7.55478214062,60.0637261309,428522978920631552,0.6788,2.759,1.388,-2.385,14.467745,0.002814,14.896778,0.018193,13.553639,0.015557,,,1.343139,0.429033,0.914105,,15038.8,1941.7625,2.2187,117.661545,,,1.1208851,B      
5786,5786,79.54124771027,47.39802620212,212177436036729984,1.3568,3.456,-2.305,2.576,11.237023,0.003637,11.399008,0.002883,10.871202,0.003798,10.710891,0.010105,0.527805,0.161984,0.365821,1.7686,7330.5,495.7472,1.7344,7.60115,1.576,1.04,0.5242579,A      
